"pFidel","pDispP","pDispM","pDispF"
0.957648342456669,0.770330473566428,0.181949242623523,0.153945692512207
0.0119570725876838,0.0355423966329545,0.00456959696486592,0.728271185853519
0.0734122275793925,0.329931746856309,0.0224764157878235,0.241864945776761
0.449292206186801,0.101714494866319,0.614737174734473,0.371189844831824
0.974057248882018,0.0852158290706575,0.460632653916255,0.177338314098306
0.825647673276253,0.226208243980072,0.793642941867001,0.382049997984432
0.632081201956607,0.0764215234387666,0.301606452232227,0.618129584947601
0.704280746537261,0.9424327054061,0.712810383886099,0.0395259030116722
0.102090579657815,0.546636917232536,0.171628115107305,0.309739878228866
0.616051131789572,0.140488259736449,0.489224586114287,0.568785214647651
0.676110717137344,0.594980079205707,0.766051807356998,0.274999704617076
0.925570583087392,0.694374457695521,0.245303250462748,0.105004662266001
0.364730990645476,0.206531031229533,0.812565005728975,0.764059469536878
0.746419627359137,0.138540586656891,0.527886052690446,0.904442527783103
0.769820454851724,0.307550550913438,0.370910758669488,0.87885064243339
0.144424311732873,0.192456662105396,0.51379147849977,0.219480115068145
0.183758448716253,0.526480441153981,0.222966943159699,0.978241411354393
0.870534420767799,0.962041445453651,0.662268422525376,0.466525138118304
0.289661879031919,0.702179886326194,0.395595839223824,0.0526477111456916
0.338431190787815,0.846570824813098,0.0583904393110424,0.232349860253744
0.0843416965520009,0.92730942456983,0.436612308220938,0.424083731155843
0.724818919198588,0.503819895246997,0.730901139304042,0.998970806417055
0.212855827840976,0.241785988761112,0.356315507558174,0.714092602455057
0.984812712967396,0.653578300750814,0.597113882177509,0.501621703132987
0.859151079244912,0.000239234552718699,0.110013799676672,0.833101893700659
0.799860048685223,0.47322648985777,0.33435698018875,0.0662933111051097
0.405920328209177,0.901402852237225,0.121126514328644,0.129973738905974
0.46531121973414,0.162010291032493,0.754939126665704,0.927683252994902
0.521167577602901,0.350234971791506,0.0945943530788645,0.665159258870408
0.692513779369183,0.433384208497591,0.0763258127029985,0.00940020286012441
0.912120683137327,0.618052981202491,0.542065573199652,0.892669821721502
0.271958000469022,0.999946045083925,0.417103404817171,0.0924723080452532
0.127407613033429,0.485171115128323,0.875451615429483,0.447578806593083
0.0441073857899755,0.379404496573843,0.579337622267194,0.586728112418205
0.584400904695503,0.839410799588077,0.930918407496065,0.65354890185874
0.168184244027361,0.758521316354163,0.15863519102335,0.78160380282905
0.517513272543438,0.27442611685954,0.830943554872647,0.492614600895904
0.803676693015732,0.412201729160733,0.213877601134591,0.535034422054887
0.232342304182239,0.802259091301821,0.27886682394892,0.338452023612335
0.252989503378049,0.736357779228129,0.631478928769939,0.401401208201423
0.558157642730512,0.293684311727993,0.963251761733554,0.753638024600223
0.036108563458547,0.665507989665493,0.689736525770277,0.340702987913974
0.881359509304166,0.896494342708029,0.455058461120352,0.819639935959131
0.39995033304207,0.793538144188933,0.95114781755954,0.639632917651907
0.65979667076841,0.560025688498281,0.286620735740289,0.695092967059463
0.432380923521705,0.878118547461927,0.659696916304529,0.959557277718559
0.561569671104662,0.0503430475713685,0.901078409636393,0.184033521311358
0.355645600561984,0.446424187473021,0.847089545228519,0.85882057311479
0.316799491178244,0.632054122891277,0.885246945652179,0.293624078449793
0.485680677010678,0.384806979564019,0.988561268309131,0.554143837224692
0.1,0.9,0.95,0.95
0.97,0.005,0.05,0.01
