"pFidel","pDispP","pDispM","pDispF"
0.0291803958592936,0.148854062391911,0.574964192404877,0.342130153207108
0.158766605413985,0.567549704399426,0.789736190345138,0.0854916311218403
0.250683552806731,0.793480158573948,0.387519573303871,0.885345576272812
0.919167545938399,0.546675483766012,0.743328643450514,0.975612029805779
0.37288631752599,0.654719448206015,0.667037419055123,0.0312928965780884
0.450672857486643,0.851947293221019,0.418173660978209,0.282471352990251
0.730746852268931,0.925302651838865,0.87709280672716,0.839514802175108
0.807503202243242,0.800659257371444,0.0905747169395909,0.762989215308335
0.211088318191469,0.991351171932183,0.847071824281011,0.10349836256355
0.52564482568996,0.0244165575946681,0.312060183438007,0.664279338927008
0.684521151497029,0.169502402015496,0.996298818907235,0.352155678742565
0.307804102601949,0.312169607181568,0.161754487163853,0.583300123445224
0.136313631222583,0.725077190692537,0.452003667457029,0.741911203879863
0.447285403707065,0.463227987580467,0.144265929923859,0.4045778091182
0.573424530029297,0.278367299993988,0.509702476544771,0.153286145825405
0.611732704145834,0.389591561362613,0.949376677186228,0.534865347470623
0.0994672055356205,0.64758142993087,0.28636089641368,0.246379307971802
0.994204844953492,0.0995694885845296,0.0330322141642682,0.912346605607308
0.870733775361441,0.426514234091155,0.235781059076544,0.615566391556058
0.776629181753378,0.201363621419296,0.608476189873181,0.496289902552962
